[2025-10-22T04:46:04.838Z] [INFO] === Starting Chiang Mai WebSocket Client ===
[2025-10-22T04:46:04.839Z] [INFO] [เชียงใหม่] Initializing database connection...
[2025-10-22T04:47:14.179Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14323.800000000001,"8685":0,"8686":null,"8687":6053.5,"8688":null,"8689":null,"18069":1334900.9000000001,"18070":3498.3,"73909":null,"73910":559383.7000000001,"75428":null,"75429":null}
[2025-10-22T04:47:17.212Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14312.800000000001,"8685":0,"8686":null,"8687":6063.900000000001,"8688":null,"8689":null,"18069":1334900.9000000001,"18070":3498.3,"73909":null,"73910":559383.7000000001,"75428":null,"75429":null}
[2025-10-22T04:47:20.223Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14321.800000000001,"8685":0,"8686":null,"8687":6063.900000000001,"8688":null,"8689":null,"18069":1334900.9000000001,"18070":3498.3,"73909":null,"73910":559383.7000000001,"75428":null,"75429":null}
[2025-10-22T04:47:26.273Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14321.800000000001,"8685":0,"8686":null,"8687":6039.1,"8688":null,"8689":null,"18069":1334900.9000000001,"18070":3498.3,"73909":null,"73910":559383.7000000001,"75428":null,"75429":null}
[2025-10-22T04:47:35.588Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14300.300000000001,"8685":0,"8686":null,"8687":6047.900000000001,"8688":null,"8689":null,"18069":1334900.9000000001,"18070":3498.3,"73909":null,"73910":559383.7000000001,"75428":null,"75429":null}
[2025-10-22T04:47:38.339Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14299.7,"8685":0,"8686":null,"8687":6047.900000000001,"8688":null,"8689":null,"18069":1334901,"18070":3498.3,"73909":null,"73910":559383.7000000001,"75428":null,"75429":null}
[2025-10-22T04:47:38.342Z] [INFO] [เชียงใหม่] Data saved to database
[2025-10-22T04:47:47.378Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14299.7,"8685":0,"8686":null,"8687":6034.5,"8688":null,"8689":null,"18069":1334901,"18070":3498.3,"73909":null,"73910":559383.7000000001,"75428":null,"75429":null}
[2025-10-22T04:47:53.417Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14316.400000000001,"8685":0,"8686":null,"8687":6034.5,"8688":null,"8689":null,"18069":1334901,"18070":3498.3,"73909":null,"73910":559383.7000000001,"75428":null,"75429":null}
[2025-10-22T04:47:56.449Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14297.5,"8685":0,"8686":null,"8687":6051.5,"8688":null,"8689":null,"18069":1334901,"18070":3498.3,"73909":null,"73910":559383.7000000001,"75428":null,"75429":null}
[2025-10-22T04:47:59.446Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14297.5,"8685":0,"8686":null,"8687":6029.8,"8688":null,"8689":null,"18069":1334901,"18070":3498.3,"73909":null,"73910":559383.7000000001,"75428":null,"75429":null}
[2025-10-22T04:48:02.470Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14297.1,"8685":0,"8686":null,"8687":6054,"8688":null,"8689":null,"18069":1334901.1,"18070":3498.3,"73909":null,"73910":559383.7000000001,"75428":null,"75429":null}
[2025-10-22T04:48:05.504Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14271.6,"8685":0,"8686":null,"8687":6054,"8688":null,"8689":null,"18069":1334901.1,"18070":3498.3,"73909":null,"73910":559383.7000000001,"75428":null,"75429":null}
[2025-10-22T04:48:08.504Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14271.6,"8685":0,"8686":null,"8687":6031.1,"8688":null,"8689":null,"18069":1334901.1,"18070":3498.3,"73909":null,"73910":559383.8,"75428":null,"75429":null}
[2025-10-22T04:48:11.515Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14329.300000000001,"8685":0,"8686":null,"8687":6077.1,"8688":null,"8689":null,"18069":1334901.1,"18070":3498.3,"73909":null,"73910":559383.8,"75428":null,"75429":null}
[2025-10-22T04:48:14.544Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14276.5,"8685":0,"8686":null,"8687":6077.1,"8688":null,"8689":null,"18069":1334901.1,"18070":3498.3,"73909":null,"73910":559383.8,"75428":null,"75429":null}
[2025-10-22T04:48:17.578Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14276.5,"8685":0,"8686":null,"8687":6036.900000000001,"8688":null,"8689":null,"18069":1334901.1,"18070":3498.3,"73909":null,"73910":559383.8,"75428":null,"75429":null}
[2025-10-22T04:48:20.592Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14300.1,"8685":0,"8686":null,"8687":6051.6,"8688":null,"8689":null,"18069":1334901.1,"18070":3498.3,"73909":null,"73910":559383.8,"75428":null,"75429":null}
[2025-10-22T04:48:23.621Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14322.800000000001,"8685":0,"8686":null,"8687":6051.6,"8688":null,"8689":null,"18069":1334901.1,"18070":3498.3,"73909":null,"73910":559383.8,"75428":null,"75429":null}
[2025-10-22T04:48:26.736Z] [DATA] [เชียงใหม่] Meter data updated: {"8684":14271.400000000001,"8685":0,"8686":null,"8687":6053.400000000001,"8688":null,"8689":null,"18069":1334901.1,"18070":3498.3,"73909":null,"73910":559383.8,"75428":null,"75429":null}
